seat_num,Area,Points
2463,256420.0,"[(116, 373), (4, 515), (6, 622), (571, 592), (913, 581), (1054, 572), (1198, 560), (1192, 513), (964, 417), (833, 369), (748, 338), (663, 314), (596, 292), (534, 307), (400, 337)]"
1624,174787.0,"[(397, 387), (260, 424), (191, 442), (101, 464), (36, 467), (4, 473), (4, 526), (376, 593), (723, 634), (778, 645), (755, 612), (763, 598), (1105, 577), (1106, 559), (1054, 520), (1030, 490), (991, 442), (984, 432)]"
403,92017.0,"[(223, 509), (130, 556), (71, 571), (42, 575), (20, 576), (20, 608), (249, 612), (608, 606), (875, 595), (1077, 583), (1139, 576), (1209, 570), (1207, 560), (1103, 547), (1043, 538), (832, 518), (760, 498)]"
359,78021.5,"[(301, 513), (215, 528), (153, 546), (112, 551), (52, 561), (18, 560), (17, 602), (317, 596), (569, 595), (888, 582), (1007, 578), (1178, 562), (1204, 561), (1209, 548), (1125, 535), (1021, 524), (781, 509)]"
588,77739.5,"[(351, 491), (261, 505), (129, 517), (3, 534), (2, 565), (142, 568), (359, 577), (473, 576), (630, 575), (782, 572), (1130, 564), (1196, 560), (1197, 536), (1118, 522), (960, 513), (890, 505), (832, 495)]"
2272,215267.5,"[(341, 339), (271, 373), (176, 436), (112, 486), (53, 537), (12, 578), (8, 696), (268, 648), (641, 585), (837, 545), (994, 518), (1101, 495), (869, 368), (739, 373), (454, 349), (420, 334)]"
1948,159224.5,"[(302, 383), (257, 475), (400, 496), (400, 496), (420, 503), (434, 621), (608, 600), (732, 584), (951, 538), (1154, 479), (1197, 465), (1182, 442), (1113, 428), (1059, 424), (1025, 411), (955, 393), (872, 361), (851, 352), (821, 336), (790, 327)]"
2064,250339.0,"[(377, 392), (248, 477), (125, 539), (99, 547), (68, 564), (181, 565), (187, 580), (194, 663), (337, 675), (848, 694), (1020, 684), (1209, 674), (1212, 601), (1141, 573), (1043, 510), (977, 442), (941, 403)]"
1545,182015.5,"[(368, 363), (267, 407), (200, 438), (92, 468), (42, 479), (13, 486), (9, 541), (364, 563), (583, 570), (1015, 559), (1138, 554), (1141, 541), (1209, 536), (1202, 495), (1147, 479), (1059, 457), (1012, 432), (933, 393), (892, 370)]"
1343,175197.0,"[(219, 436), (164, 552), (386, 596), (593, 628), (686, 614), (910, 570), (996, 550), (1108, 523), (1163, 502), (1205, 493), (1208, 441), (1113, 435), (1012, 420), (888, 397), (829, 379), (788, 371), (756, 366)]"
98,82534.5,"[(200, 512), (165, 557), (57, 575), (23, 579), (27, 621), (311, 618), (524, 607), (761, 586), (910, 572), (1052, 559), (1185, 542), (1214, 537), (806, 513), (698, 509)]"
1169,134474.0,"[(583, 477), (17, 494), (14, 525), (313, 576), (661, 622), (902, 647), (1209, 678), (1209, 625), (1149, 594), (1142, 584), (1143, 556), (1146, 531), (1147, 518)]"
2306,200443.0,"[(534, 353), (402, 399), (293, 445), (225, 483), (122, 538), (42, 590), (11, 634), (166, 644), (526, 625), (757, 613), (1011, 615), (1113, 602), (979, 425), (715, 394), (586, 361)]"
2474,179768.5,"[(99, 417), (299, 568), (320, 584), (372, 634), (659, 580), (972, 525), (1093, 488), (1186, 480), (1043, 439), (846, 390), (706, 364), (637, 348), (606, 340), (537, 328), (456, 313), (390, 327), (348, 355)]"
28,94358.5,"[(137, 572), (129, 611), (46, 643), (67, 707), (466, 653), (923, 586), (1195, 524), (691, 532), (586, 527)]"
1522,195684.0,"[(340, 387), (216, 439), (101, 479), (19, 497), (21, 569), (354, 585), (641, 596), (964, 593), (1118, 587), (1212, 582), (1210, 515), (1085, 476), (1011, 449), (932, 402), (900, 389)]"
511,66530.5,"[(369, 518), (258, 531), (100, 543), (8, 551), (6, 586), (234, 591), (474, 589), (701, 586), (1140, 569), (1196, 566), (1196, 541), (1068, 532), (923, 524), (806, 521)]"
1052,65166.5,"[(503, 446), (53, 456), (202, 488), (448, 516), (616, 532), (819, 548), (1049, 568), (1210, 580), (1210, 544), (930, 502), (893, 475)]"
2162,269443.0,"[(485, 358), (345, 411), (286, 419), (118, 465), (48, 473), (15, 477), (7, 577), (116, 624), (356, 719), (414, 736), (446, 742), (708, 694), (853, 671), (966, 652), (993, 581), (1037, 566), (1064, 553), (1109, 559), (1108, 480)]"
1899,130012.0,"[(613, 320), (272, 471), (264, 514), (436, 522), (571, 524), (723, 519), (820, 522), (1000, 524), (1083, 522), (1110, 475), (1134, 416), (1137, 388), (1140, 369), (1085, 361), (1042, 357), (999, 363), (903, 362)]"
2438,267143.0,"[(457, 326), (416, 327), (385, 344), (325, 363), (204, 388), (6, 433), (28, 735), (490, 639), (687, 593), (1011, 525), (1163, 490), (1200, 477), (1162, 462), (891, 401), (808, 377), (721, 360), (599, 342), (544, 332), (501, 324)]"
1327,177180.0,"[(202, 439), (215, 451), (213, 481), (260, 496), (267, 508), (414, 525), (418, 544), (438, 556), (452, 614), (747, 645), (1071, 525), (1130, 502), (1206, 463), (1204, 420), (1119, 414), (1075, 406), (1004, 400), (688, 351)]"
506,74546.0,"[(302, 530), (4, 554), (6, 611), (234, 616), (377, 607), (630, 612), (1028, 597), (1140, 592), (1200, 594), (1202, 564), (776, 544)]"
1723,268099.5,"[(452, 370), (291, 404), (47, 452), (7, 450), (9, 546), (132, 583), (398, 641), (589, 658), (676, 701), (751, 710), (1195, 629), (1200, 587), (1135, 458)]"
1911,127600.0,"[(411, 472), (428, 522), (422, 589), (669, 607), (770, 609), (1046, 618), (1088, 621), (1197, 476), (1151, 455), (986, 455), (652, 391)]"
1252,230904.5,"[(121, 396), (118, 422), (265, 455), (260, 473), (322, 481), (353, 581), (357, 627), (638, 652), (1067, 514), (1147, 470), (1210, 438), (1208, 364), (1050, 346), (842, 327), (681, 312), (673, 312)]"
2015,243975.5,"[(360, 362), (193, 471), (103, 506), (24, 534), (9, 538), (13, 593), (185, 617), (336, 632), (807, 639), (992, 632), (1207, 615), (1207, 567), (1118, 529), (1061, 503), (1037, 488), (903, 366)]"
1483,194986.0,"[(305, 419), (216, 485), (156, 529), (8, 581), (6, 626), (202, 634), (415, 627), (638, 612), (709, 607), (708, 600), (945, 587), (1054, 582), (1199, 559), (1200, 495), (1091, 470), (1024, 448), (863, 392)]"
2411,180660.5,"[(28, 489), (20, 520), (29, 605), (8, 654), (437, 641), (1115, 620), (1202, 621), (1205, 571), (1188, 541), (1194, 508), (1146, 497), (763, 476), (509, 474), (334, 476)]"
2363,193112.0,"[(110, 465), (78, 499), (4, 532), (9, 559), (352, 636), (584, 683), (864, 739), (1088, 784), (1107, 734), (1064, 690), (1045, 620), (1090, 598), (1163, 607), (1185, 598), (1188, 573), (884, 529), (745, 508), (608, 486), (279, 462), (147, 458)]"
305,75604.0,"[(275, 489), (148, 530), (87, 533), (14, 548), (12, 585), (331, 585), (513, 576), (789, 564), (963, 559), (1103, 550), (1208, 538), (1202, 528), (742, 496)]"
1849,168938.5,"[(164, 504), (154, 561), (326, 584), (598, 616), (785, 630), (807, 639), (811, 648), (869, 663), (1107, 528), (1127, 512), (1166, 481), (1115, 452), (1045, 451), (952, 440), (895, 439), (787, 409), (623, 363)]"
311,70981.5,"[(299, 522), (234, 544), (187, 547), (71, 566), (9, 573), (12, 609), (344, 605), (428, 602), (641, 597), (733, 596), (1116, 569), (1204, 555), (1126, 548), (931, 534), (739, 517)]"
1450,165566.0,"[(225, 413), (147, 497), (132, 512), (130, 544), (226, 554), (464, 557), (497, 607), (837, 568), (1077, 520), (1158, 506), (1193, 497), (1197, 452), (1043, 428), (887, 395), (768, 357)]"
517,64728.0,"[(432, 541), (4, 570), (7, 586), (337, 610), (595, 615), (828, 620), (931, 618), (1105, 618), (1201, 611), (1195, 592), (1007, 574), (857, 548)]"
2402,184870.5,"[(5, 476), (10, 492), (249, 658), (541, 598), (768, 555), (932, 521), (1082, 489), (1191, 471), (1116, 426), (1092, 408), (1087, 383), (1032, 369), (983, 368), (913, 373), (668, 383), (408, 413)]"
702,93660.0,"[(346, 515), (243, 545), (140, 560), (43, 573), (24, 573), (25, 608), (289, 615), (524, 621), (677, 618), (1026, 613), (1219, 608), (1212, 578), (1099, 564), (951, 537), (883, 519)]"
1296,202960.0,"[(167, 393), (159, 437), (142, 522), (146, 534), (636, 604), (845, 553), (1057, 503), (1149, 466), (1209, 449), (1202, 391), (1112, 385), (1028, 377), (723, 313)]"
2006,247143.0,"[(327, 415), (254, 485), (183, 541), (105, 580), (11, 615), (13, 668), (169, 677), (462, 692), (733, 682), (1104, 651), (1206, 640), (1206, 570), (1099, 534), (1034, 513), (874, 402)]"
1731,245375.0,"[(511, 304), (388, 333), (216, 363), (27, 379), (1, 383), (5, 446), (165, 510), (354, 563), (542, 608), (642, 631), (845, 606), (998, 585), (1160, 566), (1140, 542), (1123, 408)]"
2417,89499.0,"[(47, 480), (31, 500), (36, 556), (11, 594), (16, 611), (1205, 621), (1182, 599)]"
1122,86670.0,"[(175, 518), (686, 496), (1127, 534), (1129, 582), (1184, 607), (1218, 616), (1213, 663), (717, 609), (285, 549)]"
1687,259641.5,"[(438, 384), (166, 437), (14, 458), (13, 548), (258, 611), (621, 670), (843, 711), (933, 715), (1210, 651), (1211, 623), (1139, 576), (1117, 528), (1077, 485), (1066, 448)]"
444,99895.5,"[(209, 540), (109, 602), (7, 624), (12, 664), (289, 652), (515, 644), (928, 623), (1109, 605), (1210, 598), (1205, 570), (773, 543), (760, 533)]"
2426,166947.5,"[(101, 473), (71, 484), (51, 496), (57, 520), (34, 552), (11, 563), (8, 579), (879, 653), (1099, 658), (1176, 677), (1166, 642), (1163, 616), (1167, 572), (1174, 560), (1166, 537), (1164, 517), (1051, 488), (722, 481), (403, 468)]"
1649,190042.0,"[(28, 477), (14, 479), (10, 504), (91, 538), (248, 567), (490, 600), (646, 626), (654, 611), (899, 596), (907, 648), (1010, 661), (1199, 610), (1203, 593), (1127, 560), (1099, 531), (1033, 435), (466, 385), (203, 452)]"
1933,210995.0,"[(199, 407), (190, 441), (193, 468), (187, 544), (653, 657), (885, 598), (989, 574), (1163, 505), (1205, 492), (1198, 448), (1089, 433), (1037, 425), (985, 411), (745, 328)]"
1516,183244.5,"[(362, 382), (182, 473), (110, 497), (14, 521), (22, 565), (202, 571), (461, 573), (693, 570), (917, 571), (1060, 561), (1150, 558), (1210, 552), (1210, 474), (1076, 449), (1009, 412), (938, 388), (916, 370)]"
1304,185002.0,"[(194, 403), (146, 477), (117, 520), (331, 563), (548, 598), (823, 561), (1053, 508), (1213, 463), (1213, 416), (1083, 405), (959, 376), (864, 364), (791, 338), (760, 333)]"
34,73668.0,"[(236, 506), (188, 535), (140, 540), (34, 564), (12, 558), (12, 605), (276, 597), (539, 574), (953, 540), (1036, 535), (1182, 502), (702, 486)]"
453,90365.0,"[(262, 545), (102, 602), (52, 602), (11, 615), (8, 647), (214, 641), (463, 643), (773, 647), (1044, 639), (1200, 632), (1197, 609), (1045, 587), (886, 571), (788, 547)]"
2357,195184.5,"[(96, 440), (41, 465), (39, 495), (12, 510), (7, 560), (357, 598), (788, 633), (1122, 654), (1197, 664), (1199, 485), (1044, 468), (833, 451), (505, 438)]"
1919,232059.0,"[(253, 414), (215, 521), (189, 577), (564, 693), (692, 662), (846, 635), (994, 598), (1065, 582), (1155, 551), (1198, 537), (1202, 464), (1098, 442), (1054, 427), (1005, 416), (879, 372), (828, 352), (803, 337)]"
241,65434.0,"[(230, 505), (10, 538), (14, 600), (339, 582), (574, 570), (771, 558), (886, 550), (982, 542), (1185, 521), (1007, 514), (709, 502)]"
1702,305133.0,"[(562, 352), (348, 386), (144, 409), (0, 447), (14, 534), (121, 587), (435, 709), (616, 772), (937, 737), (939, 665), (956, 613), (968, 572), (1034, 555), (1034, 536), (1179, 518), (1186, 469)]"
2236,287218.5,"[(524, 337), (333, 416), (194, 492), (110, 544), (13, 604), (17, 743), (228, 714), (542, 671), (808, 630), (1049, 591), (1192, 570), (1206, 567), (1211, 509), (952, 363), (807, 365), (690, 362)]"
1059,91387.5,"[(19, 490), (32, 504), (370, 569), (663, 611), (913, 641), (1118, 665), (1136, 599), (1079, 569), (1073, 539), (620, 503)]"
1267,175285.5,"[(206, 426), (121, 550), (96, 567), (429, 632), (857, 559), (1082, 505), (1203, 477), (1198, 440), (1144, 433), (1121, 431), (1028, 425), (876, 394), (754, 371)]"
2168,226709.5,"[(22, 436), (4, 476), (99, 550), (282, 664), (314, 677), (499, 658), (704, 649), (883, 625), (1046, 614), (1111, 612), (1094, 543), (1117, 510), (588, 356), (338, 414), (187, 433)]"
136,125712.5,"[(37, 542), (36, 602), (13, 618), (16, 685), (558, 643), (968, 602), (1121, 578), (1212, 560), (1201, 534), (858, 531), (622, 509)]"
650,77201.5,"[(432, 519), (189, 540), (9, 547), (9, 570), (376, 593), (658, 607), (977, 612), (1202, 611), (1199, 578), (1039, 553), (979, 538), (908, 524)]"
644,73310.5,"[(363, 491), (294, 504), (64, 537), (18, 542), (20, 566), (233, 571), (726, 576), (984, 564), (1210, 561), (1207, 537), (1029, 523), (973, 513), (834, 494)]"
1887,187114.0,"[(766, 394), (387, 416), (303, 420), (175, 399), (138, 396), (79, 409), (50, 563), (186, 569), (260, 555), (553, 596), (1074, 661), (1194, 672), (1198, 623), (786, 390)]"
1893,155910.0,"[(169, 556), (221, 587), (1076, 556), (1094, 559), (1111, 578), (1188, 590), (1193, 514), (1182, 436), (1177, 406), (1111, 407), (1103, 395), (1039, 401), (1007, 406), (600, 362)]"
1878,164298.0,"[(676, 411), (302, 456), (124, 452), (66, 473), (91, 561), (105, 599), (551, 623), (1086, 641), (1081, 560), (695, 408)]"
2434,127988.5,"[(159, 445), (139, 487), (70, 516), (821, 680), (1044, 520), (944, 503), (636, 462), (517, 447), (252, 432), (214, 435)]"
